,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
7 months under 8 months,1910642.00,21739924.00,18372366.00,2484789.00,2003.00,gains,7 months under 8 months,
8 months under 9 months,1837261.00,12130791.00,10380846.00,1756057.00,2003.00,gains,8 months under 9 months,
9 months under 10 months,1643529.00,15384797.00,13600587.00,1817613.00,2003.00,gains,9 months under 10 months,
10 months under 11 months,1579709.00,18151057.00,15540793.00,2575514.00,2003.00,gains,10 months under 11 months,
11 months under 12 months,1438310.00,14066704.00,12562744.00,1545978.00,2003.00,gains,11 months under 12 months,
1 year or more [2],570973.00,11409178.00,10073238.00,1347741.00,2003.00,gains,1 year or more [2],
Holding period not determinable,6360769.00,475863488.00,461429916.00,32428509.00,2003.00,gains,Holding period not determinable,
Long-term transactions,,,,,2003.00,gains,Long-term transactions,
Total:,48257663.00,947659232.00,629385366.00,402976826.00,2003.00,gains,Total:,
Under 18 months [3],6633293.00,101175155.00,82524687.00,17904872.00,2003.00,gains,Under 18 months [3],
18 months under 2 years,3741630.00,58474488.00,47760397.00,10437723.00,2003.00,gains,18 months under 2 years,
2 years under 3 years,4454012.00,93209002.00,74474838.00,15314236.00,2003.00,gains,2 years under 3 years,
3 years under 4 years,3185949.00,65824992.00,49594422.00,15854868.00,2003.00,gains,3 years under 4 years,
4 years under 5 years,2018460.00,44430880.00,30711434.00,10923211.00,2003.00,gains,4 years under 5 years,
5 years under 10 years,6057110.00,172809214.00,113071536.00,49778841.00,2003.00,gains,5 years under 10 years,
10 years under 15 years,2084451.00,78652642.00,43939262.00,30558375.00,2003.00,gains,10 years under 15 years,
15 years under 20 years,848967.00,40588233.00,15929370.00,21425723.00,2003.00,gains,15 years under 20 years,
20 years or more,1129434.00,63613243.00,18447892.00,37806661.00,2003.00,gains,20 years or more,
Holding period not determinable,18104357.00,228881383.00,152931528.00,192972316.00,2003.00,gains,Holding period not determinable,
Total:,31550040.00,703990005.00,740583596.00,41928771.00,2003.00,Losses,Total:,
Under 1 month,10122724.00,228151271.00,236537295.00,8346725.00,2003.00,Losses,Under 1 month,
1 month under 2 months,3149892.00,31475295.00,35612615.00,4142696.00,2003.00,Losses,1 month under 2 months,
2 months under 3 months,2097672.00,16566564.00,18814941.00,2247182.00,2003.00,Losses,2 months under 3 months,
3 months under 4 months,1719570.00,13853680.00,15751790.00,1891644.00,2003.00,Losses,3 months under 4 months,
4 months under 5 months,1386650.00,12885736.00,14309464.00,1423606.00,2003.00,Losses,4 months under 5 months,
5 months under 6 months,1280987.00,9738691.00,10827770.00,1093087.00,2003.00,Losses,5 months under 6 months,
6 months under 7 months,1175699.00,14902458.00,16178063.00,1277350.00,2003.00,Losses,6 months under 7 months,
7 months under 8 months,1025333.00,7541260.00,8677867.00,1133068.00,2003.00,Losses,7 months under 8 months,
8 months under 9 months,1182734.00,11299399.00,12457570.00,1158371.00,2003.00,Losses,8 months under 9 months,
9 months under 10 months,997193.00,5186318.00,6305659.00,1119686.00,2003.00,Losses,9 months under 10 months,
